step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
140,1,0.0,0.695081772437659,3.3901167817698252,4.036165326773961,3.3901169300079346
141,1,0.0,0.706866169893025,3.3875066287884414,4.0414778255801735,3.3875067234039307
142,1,0.0,0.7492851579195833,3.3850112031489465,4.075446765262565,3.3850111961364746
143,1,0.0,0.7909522219512639,3.382633362845664,4.108519248238359,3.3826334476470947
144,1,0.0,0.8335788183239282,3.3803719253333018,4.142474319807614,3.3803720474243164
145,1,0.0,0.876239040785303,3.3782278403072694,4.176623877542626,3.378227710723877
146,1,0.0,0.9187692016487338,3.3761987177013792,4.210632935792639,3.3761987686157227
147,1,0.0,0.9617266773340777,3.3742883327527426,4.244981310715184,3.374288320541382
148,1,0.0,1.0040874877582966,3.372494745703278,4.2785189719300725,3.372494697570801
149,1,0.0,1.046164647070313,3.370816952108924,4.3121327698007175,3.370816946029663
150,1,0.0,1.08906191280176,3.369258462806761,4.346452914963216,3.369258403778076
151,1,0.0,1.131330168598478,3.3678172972989113,4.380142378932824,3.3678174018859863
152,1,0.0,1.174072799800708,3.366495037069907,4.414350751935815,3.36649489402771
153,1,0.0,1.2160108099508053,3.3652901518664233,4.44755325897224,3.3652901649475098
154,1,0.0,1.2585129931866077,3.3642032472125645,4.481349892456958,3.3642032146453857
155,1,0.0,1.301738594303897,3.36323514970784,4.515844141980154,3.3632352352142334
156,1,0.0,1.3437463697335328,3.36238452546923,4.548992949611677,3.362384557723999
157,1,0.0,1.3864745229578277,3.3616536274398836,4.582890684653434,3.3616535663604736
158,1,0.0,1.4291588198957614,3.36103988772469,4.616854165966211,3.361039876937866
159,1,0.0,1.4718435725942602,3.3605460027950436,4.650627320309372,3.3605458736419678
160,1,0.0,1.5144765771909194,3.3601710932625863,4.6844862593171195,3.36017107963562
161,1,0.0,1.5566782465527353,3.3599134909244905,4.71810314458369,3.3599135875701904
162,1,0.0,1.5995030967508748,3.3597756278682294,4.7520252744140805,3.3597757816314697
163,1,0.0,1.642356261012858,3.359757300557864,4.786136975882955,3.3597571849823
164,1,0.0,1.6850724826832426,3.359856575180115,4.820090480792713,3.359856605529785
165,1,0.0,1.7275258340024757,3.360074878153729,4.853561341013987,3.360074758529663
