step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d,leader_x,leader_y,follower_x,follower_y,pf_leader_x,pf_leader_y,pf_neff,pf_cov_xx,pf_cov_xy,pf_cov_yy,pf_cov_vxvx,pf_cov_vyvy
55,1,0.0,2.800814307071394,2.818489089530243,0.03336482671950788,2.8184890747070312,2.6721017360687256,-0.8965227603912354,0.0,0.0,0.00791843980550766,-0.032411571592092514,599.9999996399999,0.48369917273521423,0.0028651291504502296,0.47453054785728455,0.31367364525794983,0.2967011630535126
56,1,0.0,2.8170909053945423,2.8349807661232185,0.033963463259679284,2.8349807262420654,2.6841001510620117,-0.9125362038612366,0.0,0.0,0.007813641801476479,-0.033052440732717514,599.9999996399999,0.49279555678367615,0.002163616241887212,0.4832424521446228,0.31485262513160706,0.29397374391555786
57,1,0.0,2.8335851511004493,2.8515175164862483,0.03392765684505006,2.85151743888855,2.696098566055298,-0.9285497665405273,0.0,0.0,0.00774348434060812,-0.03303217142820358,599.9999996399999,0.5020565390586853,0.0012763754930347204,0.49167919158935547,0.3157718777656555,0.29311642050743103
58,1,0.0,2.849879086897797,2.868098396734982,0.03400119562164718,2.868098497390747,2.708096742630005,-0.944563627243042,0.0,0.0,0.007914300076663494,-0.033067282289266586,599.9999996399999,0.5106945633888245,0.0007431329577229917,0.5003699064254761,0.3193204998970032,0.29147082567214966
59,1,0.0,2.8662275294007618,2.884722039499708,0.03411328383358227,2.8847219944000244,2.7200942039489746,-0.9605773091316223,0.0,0.0,0.008059083484113216,-0.0331476591527462,599.9999996399999,0.5205330848693848,-0.00013149120786692947,0.5089032649993896,0.321565717458725,0.2923262119293213
60,1,0.0,2.882482678130455,2.9013882673061544,0.034547175398934545,2.901388168334961,2.7320914268493652,-0.976591169834137,0.0,0.0,0.008237321861088276,-0.03355076536536217,599.9999996399999,0.5306532979011536,-0.0009560776525177062,0.5185015201568604,0.3227885365486145,0.2959475517272949
61,1,0.0,2.898830581056738,2.9180959832014906,0.035373842211736825,2.9180960655212402,2.7440879344940186,-0.992605447769165,0.0,0.0,0.008200397714972496,-0.034410204738378525,599.9999996399999,0.5404740571975708,-0.0012861425057053566,0.5281712412834167,0.3239063322544098,0.29582980275154114
62,1,0.0,2.915299191826211,2.9348448015716033,0.035757573457564494,2.934844732284546,2.7560842037200928,-1.008619785308838,0.0,0.0,0.008242522366344929,-0.03479460999369621,599.9999996399999,0.5505622625350952,-0.001387335709296167,0.5376539826393127,0.324068158864975,0.2958590090274811
63,1,0.0,2.93137537657412,2.9516347536310406,0.03701021296226217,2.951634645462036,2.768080949783325,-1.0246343612670898,0.0,0.0,0.00843708124011755,-0.036035697907209396,599.9999996399999,0.5603611469268799,-0.0015385926235467196,0.5467157959938049,0.32423263788223267,0.29466623067855835
64,1,0.0,2.9482569031101424,2.968464481186795,0.03695439323107457,2.9684646129608154,2.7800774574279785,-1.040649175643921,0.0,0.0,0.008266722783446312,-0.03601789101958275,599.9999996399999,0.5711355805397034,-0.0026332284323871136,0.5565237402915955,0.3263818919658661,0.29662656784057617
