step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
0,0,1.9711668081557845,1.9711668081557845,1.9911583133803503,0.02016128783209256,0.020161287859082222
1,0,1.9616563081857776,1.9616563081857776,1.9825444632901077,0.02108150238059863,0.021081503480672836
2,0,1.953665604966984,1.953665604966984,1.9741098691822723,0.020654116909773996,0.020654117688536644
3,0,1.9453569080694242,1.9453569080694242,1.9658454462882937,0.020745948527847967,0.02074594981968403
4,0,1.937792855679914,1.937792855679914,1.9577511569909463,0.020263600409330926,0.02026359923183918
5,0,1.9301119789564325,1.9301119789564325,1.9498283859599554,0.020121773834806397,0.020121773704886436
6,0,1.922472377385269,1.922472377385269,1.9420787513619067,0.020105921389666354,0.020105920732021332
7,0,1.9146571983327059,1.9146571983327059,1.9345046936352543,0.020466925521156993,0.02046692557632923
8,0,1.9071847540437665,1.9071847540437665,1.9271082775674373,0.02047792043074921,0.02047792077064514
9,0,1.899814557174514,1.899814557174514,1.919891204790903,0.020729329279540624,0.02072932943701744
10,0,1.893080430978784,1.893080430978784,1.9128551363335482,0.020506270352261765,0.020506270229816437
11,0,1.8856514414859509,1.8856514414859509,1.9060024411995777,0.021170190377300113,0.02117018960416317
12,0,1.8788180679797857,1.8788180679797857,1.8993353375019562,0.02140313332093654,0.021403133869171143
13,0,1.8722074613009723,1.8722074613009723,1.8928555501432232,0.021691010229322762,0.021691009402275085
14,0,1.865742093315911,1.865742093315911,1.8865652710832739,0.02204795093351814,0.022047951817512512
15,0,1.860142791919538,1.860142791919538,1.8804662522659568,0.021525274014059414,0.021525273099541664
16,0,1.854019921416622,1.854019921416622,1.8745601275183676,0.021901688421002558,0.02190168760716915
17,0,1.848021576446101,1.848021576446101,1.8688488652796897,0.022243368538068322,0.02224336937069893
18,0,1.8421592458808076,1.8421592458808076,1.8633341162813544,0.022930528476138568,0.022930528968572617
19,0,1.8369691159996144,1.8369691159996144,1.8580178650304469,0.02302864520274979,0.023028643801808357
20,0,1.83153881788551,1.83153881788551,1.8529016825523217,0.023607041486702212,0.0236070416867733
