step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d,leader_x,leader_y,follower_x,follower_y,pf_leader_x,pf_leader_y,pf_neff,pf_cov_xx,pf_cov_xy,pf_cov_yy,pf_cov_vxvx,pf_cov_vyvy
0,1,0.0,0.009786715653679964,2.01707854058705,2.0083258327085347,2.0170786380767822,2.0170514583587646,-0.010452426970005035,0.0,0.0,2.0083167552948,-0.006038271822035313,437.0108690999576,0.0013292180374264717,-2.2520038328366354e-05,0.0013097258051857352,0.006333978846669197,0.006424376741051674
1,1,0.0,0.01889347387219829,2.0342100971640638,2.0181181399116572,2.034209966659546,2.03410267829895,-0.020904868841171265,0.0,0.0,2.0180888175964355,-0.01087892148643732,599.9999851113682,0.000957061885856092,-4.455255111679435e-05,0.0009231882868334651,0.010939332656562328,0.010919271968305111
2,1,0.0,0.027829766782273637,2.0513935739386318,2.0272775670182313,2.051393508911133,2.0511538982391357,-0.031357310712337494,0.0,0.0,2.027204751968384,-0.017182180657982826,499.6627737874988,0.0006994381546974182,-2.356342156417668e-05,0.0007211321499198675,0.01629161275923252,0.015268249437212944
3,1,0.0,0.03707816787888442,2.068627677054098,2.0361951587512594,2.0686275959014893,2.0682051181793213,-0.04180975258350372,0.0,0.0,2.0360615253448486,-0.023327870294451714,348.1955424716682,0.0005702564376406372,2.3610215066582896e-05,0.0006060708547011018,0.01986405998468399,0.020511621609330177
4,1,0.0,0.046347270834522065,2.0859111516641335,2.045493363725257,2.0859110355377197,2.085256338119507,-0.05226219445466995,0.0,0.0,2.04529070854187,-0.02879268303513527,599.9999851113682,0.0005368570564314723,4.446393722901121e-05,0.0005767159163951874,0.022384028881788254,0.023973679170012474
5,1,0.0,0.05300089485126341,2.103242780632894,2.056954981478994,2.103242874145508,2.1023075580596924,-0.06271463632583618,0.0,0.0,2.05664324760437,-0.03580988571047783,455.69615986248584,0.0005625284975394607,2.5946057576220483e-05,0.0005046956357546151,0.026023291051387787,0.02734978497028351
6,1,0.0,0.057510560710387695,2.120621383278265,2.0709509234228096,2.1206214427948,2.119358777999878,-0.07316707819700241,0.0,0.0,2.0705082416534424,-0.0428176186978817,599.9999851113682,0.0005804867250844836,-1.951986450876575e-05,0.00043767603347077966,0.02967046946287155,0.03122260794043541
7,1,0.0,0.06079121100519464,2.138045814157099,2.0869564217387504,2.1380457878112793,2.1364099979400635,-0.08361952006816864,0.0,0.0,2.086379051208496,-0.0490872785449028,412.32266574912614,0.0005361068760976195,3.3732412703102455e-06,0.00040821562288329005,0.03530032932758331,0.03213385492563248
8,1,0.0,0.06455670663239592,2.155514961566173,2.102037144659678,2.15551495552063,2.153461217880249,-0.09407195448875427,0.0,0.0,2.101289749145508,-0.05604951083660126,599.9999851113682,0.00041911794687621295,3.8523935472767334e-06,0.00037867683568038046,0.036905646324157715,0.031028635799884796
9,1,0.0,0.0695088915485733,2.17302774767549,2.1153493792482605,2.173027753829956,2.1705124378204346,-0.1045243963599205,0.0,0.0,2.1143958568573,-0.06350713968276978,430.3472246352138,0.00034560728818178177,3.3527663617860526e-05,0.0003953143022954464,0.03500287979841232,0.031131301075220108
10,1,0.0,0.07414717532404365,2.1905831251909507,2.1283710284389588,2.1905832290649414,2.18756365776062,-0.11497683078050613,0.0,0.0,2.1271533966064453,-0.07198376208543777,599.9999851113682,0.00031025375938043,1.900631104945205e-05,0.0003739662643056363,0.03212013840675354,0.034777652472257614
11,1,0.0,0.0791233094196291,2.2081800790283537,2.1411887751063357,2.2081799507141113,2.2046148777008057,-0.12542927265167236,0.0,0.0,2.139685869216919,-0.08021067082881927,426.0215861346079,0.0002878852537833154,4.135422932449728e-05,0.00036527670454233885,0.030545227229595184,0.03866353631019592
12,1,0.0,0.08452921378606762,2.22581762229618,2.1540137670662562,2.2258174419403076,2.221666097640991,-0.135881707072258,0.0,0.0,2.152228593826294,-0.08767775446176529,599.9999851113682,0.00031008676160126925,5.333730223355815e-05,0.0003431066288612783,0.028616178780794144,0.04404979571700096
13,1,0.0,0.0876485039306854,2.243494798078281,2.1690226889705118,2.243494749069214,2.2387173175811768,-0.14633414149284363,0.0,0.0,2.1668927669525146,-0.09609974920749664,404.79954487379905,0.0003069726226385683,5.6660122936591506e-05,0.0003646803379524499,0.025177650153636932,0.04497075825929642
14,1,0.0,0.09008282866776006,2.261210676884824,2.183908984293336,2.2612106800079346,2.2557685375213623,-0.15678657591342926,0.0,0.0,2.181332588195801,-0.10604994744062424,599.9999851113682,0.0003055462148040533,8.929923205869272e-05,0.000383793783839792,0.024305429309606552,0.05079755559563637
15,1,0.0,0.09204013581277225,2.2789643561243054,2.199048812065267,2.2789642810821533,2.272819757461548,-0.1672390103340149,0.0,0.0,2.1959547996520996,-0.1166113018989563,404.03196818073,0.00032382068457081914,0.00010277730325469747,0.0005024211714044213,0.0246732160449028,0.06036453694105148
16,1,0.0,0.09232158555546979,2.296754959216535,2.214341324535607,2.296755075454712,2.2898709774017334,-0.17769144475460052,0.0,0.0,2.210489273071289,-0.13055525720119476,599.9999851113682,0.00029967803857289255,0.0001200469268951565,0.0007123618852347136,0.022423619404435158,0.07623469829559326
17,1,0.0,0.09146232068524542,2.3145816347366006,2.2297911822780185,2.3145816326141357,2.306922197341919,-0.18814387917518616,0.0,0.0,2.2248950004577637,-0.14768531918525696,385.82892083708333,0.0002734108129516244,0.00010072009899886325,0.0009520687162876129,0.023358892649412155,0.09702728688716888
18,1,0.0,0.0914640029262035,2.3324435555887932,2.2440284947956957,2.3324437141418457,2.3239734172821045,-0.1985963135957718,0.0,0.0,2.237718105316162,-0.1681712418794632,599.9999851113682,0.0002235165738966316,7.638832903467119e-05,0.0011703919153660536,0.02741187997162342,0.10208431631326675
19,1,0.0,0.09270793136889283,2.3503399182094835,2.2582269107156803,2.350339889526367,2.34102463722229,-0.20904874801635742,0.0,0.0,2.2501676082611084,-0.19061614573001862,405.16174276720346,0.00020079725072719157,6.750937609467655e-05,0.0012146374210715294,0.031094353646039963,0.08614671230316162
20,1,0.0,0.09705367971323386,2.36826994179797,2.2712170706869834,2.368269920349121,2.3580758571624756,-0.21950118243694305,0.0,0.0,2.2614047527313232,-0.2108922153711319,599.9999851113682,0.0001940700167324394,5.492738273460418e-05,0.0011273518903180957,0.02965906262397766,0.06454139947891235
21,1,0.0,0.0993030340543233,2.3862328675743467,2.2871021241721063,2.386232852935791,2.375127077102661,-0.2299536168575287,0.0,0.0,2.2758989334106445,-0.2260977029800415,420.8926730398776,0.00021232249855529517,9.463392780162394e-05,0.0010860082693397999,0.031245727092027664,0.05695505440235138
22,1,0.0,0.1009298784993041,2.4042279580634505,2.3036374257229086,2.4042279720306396,2.3921782970428467,-0.24040605127811432,0.0,0.0,2.2912683486938477,-0.2384003847837448,599.9999851113682,0.00021667260443791747,0.0001316823618253693,0.0011517785023897886,0.02787724882364273,0.05906794220209122
