step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
0,1,0.0,0.00733104103623862,1.9960294669091474,1.9967119477692534,1.9960293769836426
1,1,0.0,0.017162936476421444,1.9923162717024065,1.9952164504402705,1.9923162460327148
2,1,0.0,0.025908225378731668,1.9888119374577728,1.993594226831531,1.98881196975708
3,1,0.0,0.03407343367196071,1.9855059260256667,1.9919568393664218,1.9855059385299683
4,1,0.0,0.04208651694777528,1.9823965924927323,1.9887022164748482,1.9823966026306152
5,1,0.0,0.05091048181286191,1.9794845091068327,1.9864458372263338,1.9794844388961792
6,1,0.0,0.06001342521560138,1.976770304093262,1.9843637938224865,1.976770281791687
7,1,0.0,0.06894567818525482,1.9742549167599936,1.981544439261042,1.974254846572876
8,1,0.0,0.07716612499459113,1.9719388593680758,1.9792410322789402,1.9719388484954834
9,1,0.0,0.08424943989904253,1.9698224855007245,1.9760450745729958,1.9698225259780884
10,1,0.0,0.08883583600807772,1.967907154273477,1.97008380824068,1.967907190322876
11,1,0.0,0.0932695303984305,1.9661927414745388,1.9640481878692502,1.9661927223205566
12,1,0.0,0.10035807227718288,1.964680359100362,1.9579846963689294,1.9646803140640259
13,1,0.0,0.10780279394619184,1.963370108897585,1.953813781725333,1.9633700847625732
14,1,0.0,0.11636822173907498,1.962262547065352,1.9505977703405024,1.962262511253357
15,1,0.0,0.12512012064654449,1.9613577619332994,1.9505302174886088,1.9613577127456665
16,1,0.0,0.13295609122116359,1.960656250047188,1.9506050793352472,1.9606562852859497
17,1,0.0,0.13974522025826747,1.9601577727796702,1.9507609380023738,1.9601577520370483
18,1,0.0,0.1475237485008605,1.9598629945211274,1.948197016994441,1.9598630666732788
19,1,0.0,0.15370940073854103,1.9597718477407955,1.9453628603982749,1.9597718715667725
20,1,0.0,0.15873372581812661,1.9598844885236242,1.9406653084860253,1.959884524345398
21,1,0.0,0.161118561956467,1.960200978033741,1.9365360894996784,1.9602009057998657
